language_name,num_speakers
Spanish,24539
French,493
French Creole,300
Italian,32
Portuguese,21
German,41
Other West Germanic,7
Russian,12
Other Slavic,31
Persian,44
Hindi,75
Urdu,39
Other Indic,32
Chinese,144
Japanese,32
"Mon-Khmer, Cambodian",35
Vietnamese,153
Tagalog,184
Other Pacific Island,59
Arabic,121
African Languages,10
Other,26
Spanish,24618
French,411
French Creole,423
Italian,33
Portuguese,18
German,46
Other West Germanic,8
Other Slavic,21
Persian,109
Hindi,196
Urdu,34
Other Indic,41
Other Indo-European,11
Chinese,69
Japanese,35
"Mon-Khmer, Cambodian",43
Vietnamese,169
Tagalog,78
Other Pacific Island,72
Arabic,49
African Languages,39
Other,18
Spanish,24761
French,247
French Creole,432
Italian,52
German,77
Other West Germanic,18
Other Slavic,22
Persian,72
Hindi,211
Urdu,33
Other Indic,51
Other Indo-European,22
Chinese,109
Japanese,33
Vietnamese,273
Other Asian,61
Tagalog,223
Other Pacific Island,77
Arabic,45
African Languages,51
Other,30
